S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
1.666667, 6.666667, 0.290522, 0.686002, 1.5399532318115234, 0.5401799082756042, 4.0928587913513184, 2.1026415824890137,0.2577945888042450, 0.1520022302865982, 1.7278006076812744, 1.7408000230789185,7.00, 0.1515866229508197
1.666667, 7.500000, 0.267541, 0.668644, 1.5422810316085815, 0.5344410538673401, 4.1918563842773438, 2.0880935192108154,0.2791790962219238, 0.1384189724922180, 1.5400643348693848, 1.6070241928100586,4.00, 0.1515866229508197
1.666667, 8.333333, 0.248102, 0.646737, 1.5396196842193604, 0.5363959074020386, 4.2223711013793945, 2.1064968109130859,0.3039244413375854, 0.1294292509555817, 1.3791897296905518, 1.4595835208892822,5.00, 0.1515866229508197
1.666667, 9.166667, 0.231616, 0.622153, 1.5273845195770264, 0.5453373789787292, 4.1613025665283203, 2.1481380462646484,0.3307984173297882, 0.1236229091882706, 1.2561100721359253, 1.3212578296661377,5.00, 0.1515866229508197
1.666667, 10.000000, 0.217654, 0.596621, 1.5090838670730591, 0.5605279207229614, 4.0902142524719238, 2.2090263366699219,0.3586540520191193, 0.1199527382850647, 1.1697227954864502, 1.2029896974563599,5.00, 0.1515866229508197
1.666667, 10.833333, 0.205835, 0.571485, 1.4796812534332275, 0.5808427929878235, 4.0137767791748047, 2.2722539901733398,0.3869538605213165, 0.1206036359071732, 1.1021790504455566, 1.0934985876083374,5.00, 0.1515866229508197
1.666667, 11.666667, 0.195840, 0.547696, 1.4246022701263428, 0.6017312407493591, 3.8861417770385742, 2.3095653057098389,0.4154320359230042, 0.1271397918462753, 1.0442302227020264, 0.9871167540550232,2.00, 0.1515866229508197
1.666667, 12.500000, 0.187409, 0.525936, 1.3861901760101318, 0.6200662851333618, 3.7805604934692383, 2.3371469974517822,0.4433489739894867, 0.1342882066965103, 1.0079443454742432, 0.9202215075492859,2.00, 0.1515866229508197
1.666667, 13.333333, 0.180304, 0.506411, 1.3520561456680298, 0.6343775987625122, 3.6607561111450195, 2.3802146911621094,0.4696326553821564, 0.1339223384857178, 0.9823610186576843, 0.8796371221542358,2.00, 0.1515866229508197
1.666667, 14.166667, 0.174317, 0.489108, 1.2955077886581421, 0.6366605162620544, 3.4364495277404785, 2.4597053527832031,0.4945628046989441, 0.1286368817090988, 0.9551624655723572, 0.8321827650070190,1.00, 0.1515866229508197
1.666667, 15.000000, 0.169288, 0.473946, 1.2200055122375488, 0.6247308850288391, 3.1003623008728027, 2.5149948596954346,0.5183136463165283, 0.1225114017724991, 0.9299436211585999, 0.7775485515594482,1.00, 0.1515866229508197
1.666667, 15.833333, 0.165061, 0.460621, 1.1352746486663818, 0.6001015901565552, 2.6655232906341553, 2.4989159107208252,0.5408228635787964, 0.1200734004378319, 0.9231164455413818, 0.7647559046745300,1.00, 0.1515866229508197
1.666667, 16.666667, 0.161504, 0.448769, 1.0689898729324341, 0.5789366960525513, 2.2731828689575195, 2.3986449241638184,0.5614804625511169, 0.1202456578612328, 0.9336605072021484, 0.7991392612457275,1.00, 0.1515866229508197
2.500000, 0.833333, 0.690974, 0.439585, 1.3567758798599243, 0.7205612063407898, 2.8228702545166016, 2.1256959438323975,1.0078519582748413, 0.7688953280448914, 3.0410289764404297, 1.9396804571151733,3.00, 0.1515866229508197
