S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
0.833333, 0.833333, 0.461008, 0.336311, 1.3917162418365479, 0.6676947474479675, 2.8468115329742432, 1.9589809179306030,1.2329620122909546, 0.7243000268936157, 2.9324874877929688, 1.8986023664474487,9.00, 0.1430851147540984
0.833333, 1.666667, 0.303332, 0.356765, 1.4005837440490723, 0.6756296753883362, 2.8711335659027100, 2.0139646530151367,1.0017462968826294, 0.7526122927665710, 2.9898288249969482, 1.8868107795715332,8.00, 0.1430851147540984
0.833333, 2.500000, 0.260394, 0.398604, 1.4057708978652954, 0.6736899018287659, 2.9445514678955078, 2.1053593158721924,0.6580356955528259, 0.6445488929748535, 3.0089445114135742, 1.9514031410217285,7.00, 0.1430851147540984
0.833333, 3.333333, 0.233917, 0.418318, 1.4249300956726074, 0.6507206559181213, 3.1335613727569580, 2.1809566020965576,0.4448418021202087, 0.5146318078041077, 2.8358283042907715, 2.0307040214538574,9.00, 0.1430851147540984
0.833333, 4.166667, 0.212957, 0.424285, 1.4772729873657227, 0.6143137216567993, 3.4045777320861816, 2.2197868824005127,0.3738856315612793, 0.4455037713050842, 2.4994173049926758, 2.0557475090026855,7.00, 0.1430851147540984
0.833333, 5.000000, 0.195850, 0.429048, 1.5187776088714600, 0.5822673439979553, 3.6799435615539551, 2.2175314426422119,0.3540785610675812, 0.3899597227573395, 2.0938811302185059, 1.9736673831939697,11.00, 0.1430851147540984
0.833333, 5.833333, 0.181992, 0.433530, 1.5377732515335083, 0.5526846647262573, 3.8995492458343506, 2.1776950359344482,0.3589054644107819, 0.3402746021747589, 1.7380329370498657, 1.7947920560836792,9.00, 0.1430851147540984
0.833333, 6.666667, 0.170583, 0.435428, 1.5485168695449829, 0.5235722661018372, 4.0792589187622070, 2.1330587863922119,0.3829492032527924, 0.3176423907279968, 1.5143644809722900, 1.6268919706344604,11.00, 0.1430851147540984
0.833333, 7.500000, 0.161049, 0.434193, 1.5673042535781860, 0.4965911507606506, 4.2689137458801270, 2.0935716629028320,0.4175757765769958, 0.3032349050045013, 1.4067425727844238, 1.5516159534454346,10.00, 0.1430851147540984
0.833333, 8.333333, 0.153026, 0.429993, 1.5887584686279297, 0.4715202152729034, 4.4671916961669922, 2.0546088218688965,0.4640553593635559, 0.3103663027286530, 1.3183846473693848, 1.4851416349411011,7.00, 0.1430851147540984
0.833333, 9.166667, 0.146282, 0.423412, 1.6005076169967651, 0.4504842162132263, 4.6167197227478027, 2.0353081226348877,0.5155550837516785, 0.3211520612239838, 1.2293547391891479, 1.3953336477279663,9.00, 0.1430851147540984
0.833333, 10.000000, 0.140652, 0.415519, 1.6130403280258179, 0.4342281222343445, 4.7872653007507324, 2.0264532566070557,0.5742044448852539, 0.3458145260810852, 1.1587148904800415, 1.3126802444458008,7.00, 0.1430851147540984
0.833333, 10.833333, 0.135977, 0.407279, 1.6164430379867554, 0.4235508441925049, 4.9440236091613770, 2.0327565670013428,0.6298112869262695, 0.3607644736766815, 1.1342345476150513, 1.2994467020034790,6.00, 0.1430851147540984
0.833333, 11.666667, 0.132114, 0.399372, 1.5966920852661133, 0.4193405807018280, 4.9742836952209473, 2.1045553684234619,0.6888239383697510, 0.3855419456958771, 1.1683477163314819, 1.3664268255233765,6.00, 0.1430851147540984
0.833333, 12.500000, 0.128947, 0.392235, 1.5653853416442871, 0.4171505868434906, 4.9253029823303223, 2.1999576091766357,0.7495121955871582, 0.4115590155124664, 1.2185696363449097, 1.4451776742935181,5.00, 0.1430851147540984
0.833333, 13.333333, 0.126363, 0.385860, 1.5336372852325439, 0.4140084087848663, 4.8282699584960938, 2.3168513774871826,0.8202157020568848, 0.4504701793193817, 1.3207967281341553, 1.5660847425460815,5.00, 0.1430851147540984
0.833333, 14.166667, 0.124266, 0.380137, 1.4971660375595093, 0.4103603661060333, 4.6795244216918945, 2.4464783668518066,0.9015050530433655, 0.4992064833641052, 1.4812918901443481, 1.7029335498809814,4.00, 0.1430851147540984
0.833333, 15.000000, 0.122578, 0.375130, 1.4565271139144897, 0.4055434167385101, 4.4737277030944824, 2.5771682262420654,0.9477051496505737, 0.5013307332992554, 1.5851023197174072, 1.8059988021850586,3.00, 0.1430851147540984
0.833333, 15.833333, 0.121226, 0.370872, 1.4206379652023315, 0.4009472429752350, 4.2231888771057129, 2.7051177024841309,0.9747288823127747, 0.4857063591480255, 1.6019980907440186, 1.8488879203796387,5.00, 0.1430851147540984
0.833333, 16.666667, 0.120145, 0.367363, 1.3887722492218018, 0.3965267241001129, 3.9978895187377930, 2.7966012954711914,0.9948331713676453, 0.4656133055686951, 1.5966945886611938, 1.8813736438751221,6.00, 0.1430851147540984
1.666667, 0.833333, 0.589650, 0.382037, 1.3407332897186279, 0.7025848031044006, 2.8701908588409424, 2.0400416851043701,1.1106413602828979, 0.7475516200065613, 3.0056300163269043, 1.9319659471511841,7.00, 0.1430851147540984
1.666667, 1.666667, 0.493733, 0.489404, 1.3613692522048950, 0.7286320924758911, 2.8865239620208740, 2.0837237834930420,0.7807090282440186, 0.7430360317230225, 3.0324513912200928, 1.9255437850952148,9.00, 0.1430851147540984
1.666667, 2.500000, 0.470750, 0.600064, 1.3836945295333862, 0.7391837239265442, 2.9753398895263672, 2.1234536170959473,0.4373037517070770, 0.5862969160079956, 2.9501898288726807, 1.9724128246307373,5.00, 0.1430851147540984
1.666667, 3.333333, 0.436781, 0.667477, 1.4025782346725464, 0.7189695835113525, 3.2147407531738281, 2.1116354465484619,0.3270950317382812, 0.4873174726963043, 2.7305462360382080, 2.0338332653045654,7.00, 0.1430851147540984
1.666667, 4.166667, 0.394462, 0.699421, 1.3968763351440430, 0.6962025761604309, 3.4141831398010254, 2.0562651157379150,0.2662545144557953, 0.3649735450744629, 2.4083733558654785, 2.0279779434204102,5.00, 0.1430851147540984
1.666667, 5.000000, 0.354459, 0.708218, 1.4064694643020630, 0.6854073405265808, 3.6377606391906738, 2.0125131607055664,0.2407975643873215, 0.2546342313289642, 2.0990748405456543, 1.9483665227890015,5.00, 0.1430851147540984
1.666667, 5.833333, 0.320245, 0.703013, 1.4262607097625732, 0.6824696063995361, 3.8771245479583740, 1.9568344354629517,0.2443864643573761, 0.1931160092353821, 1.8429533243179321, 1.8310861587524414,6.00, 0.1430851147540984
1.666667, 6.666667, 0.291549, 0.688766, 1.4523154497146606, 0.6845964789390564, 4.0671815872192383, 1.9033150672912598,0.2604574859142303, 0.1565283536911011, 1.6410582065582275, 1.7075597047805786,5.00, 0.1430851147540984
1.666667, 7.500000, 0.267516, 0.668665, 1.4752242565155029, 0.6896563768386841, 4.2060585021972656, 1.8515723943710327,0.2835331559181213, 0.1432125568389893, 1.4840010404586792, 1.5691138505935669,5.00, 0.1430851147540984
1.666667, 8.333333, 0.247349, 0.644892, 1.4766126871109009, 0.6967355012893677, 4.2477793693542480, 1.8120005130767822,0.3086009025573730, 0.1336540281772614, 1.3428535461425781, 1.4116977453231812,4.00, 0.1430851147540984
1.666667, 9.166667, 0.230420, 0.619528, 1.4774899482727051, 0.7097736597061157, 4.2535729408264160, 1.8112994432449341,0.3343026936054230, 0.1246768608689308, 1.2174682617187500, 1.2346415519714355,5.00, 0.1430851147540984
1.666667, 10.000000, 0.216236, 0.594432, 1.4575407505035400, 0.7271591424942017, 4.1916179656982422, 1.8436596393585205,0.3606279790401459, 0.1203346699476242, 1.1106678247451782, 1.0357425212860107,4.00, 0.1430851147540984
1.666667, 10.833333, 0.204342, 0.570675, 1.4139573574066162, 0.7450343966484070, 4.0527095794677734, 1.9139053821563721,0.3871456086635590, 0.1212899461388588, 1.0559729337692261, 0.8994840383529663,5.00, 0.1430851147540984
1.666667, 11.666667, 0.194338, 0.548656, 1.3761371374130249, 0.7634194493293762, 3.9356331825256348, 1.9593435525894165,0.4128984808921814, 0.1225284785032272, 1.0200576782226562, 0.7914742231369019,5.00, 0.1430851147540984
1.666667, 12.500000, 0.185907, 0.528583, 1.3260557651519775, 0.7793000340461731, 3.8056519031524658, 2.0050024986267090,0.4372035861015320, 0.1206742227077484, 1.0006294250488281, 0.7272790670394897,4.00, 0.1430851147540984
1.666667, 13.333333, 0.178763, 0.510425, 1.2559262514114380, 0.7882028818130493, 3.6161215305328369, 2.0715258121490479,0.4611403644084930, 0.1259262412786484, 0.9881796240806580, 0.6844481229782104,2.00, 0.1430851147540984
1.666667, 14.166667, 0.172676, 0.493988, 1.1712746620178223, 0.7825220823287964, 3.3400175571441650, 2.1325285434722900,0.4836477339267731, 0.1278838217258453, 0.9775540828704834, 0.6512798666954041,1.00, 0.1430851147540984
1.666667, 15.000000, 0.167477, 0.479149, 1.0881645679473877, 0.7649054527282715, 3.0591535568237305, 2.1324312686920166,0.5045775771141052, 0.1260099261999130, 0.9795991778373718, 0.6637589931488037,1.00, 0.1430851147540984
