S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
1.666667, 15.000000, 0.191558, 0.476587, 1.3467603921890259, 0.3258453309535980, 3.2737462520599365, 2.7418787479400635,1.00, 0.2608524590163934
1.666667, 15.833333, 0.189016, 0.469144, 1.3443850278854370, 0.3399844765663147, 3.2124454975128174, 2.7272913455963135,1.00, 0.2608524590163934
1.666667, 16.666667, 0.186859, 0.462740, 1.3447027206420898, 0.3545300066471100, 3.1093590259552002, 2.7049956321716309,1.00, 0.2608524590163934
2.500000, 0.833333, 0.661713, 0.394773, 1.4195930957794189, 0.6173756718635559, 2.7888076305389404, 2.1400785446166992,3.00, 0.2608524590163934
2.500000, 1.666667, 0.585253, 0.509566, 1.4599261283874512, 0.5490188598632812, 2.8435385227203369, 2.3396215438842773,3.00, 0.2608524590163934
2.500000, 2.500000, 0.579561, 0.626379, 1.5087535381317139, 0.4441768229007721, 2.9548664093017578, 2.5566868782043457,1.00, 0.2608524590163934
2.500000, 3.333333, 0.559077, 0.701696, 1.5320656299591064, 0.3446663916110992, 3.0998828411102295, 2.7221918106079102,1.00, 0.2608524590163934
2.500000, 4.166667, 0.516630, 0.737338, 1.5291588306427002, 0.2967409491539001, 3.2042961120605469, 2.7763175964355469,1.00, 0.2608524590163934
2.500000, 5.000000, 0.464100, 0.746175, 1.5243097543716431, 0.2597335875034332, 3.3126957416534424, 2.7895140647888184,1.00, 0.2608524590163934
2.500000, 5.833333, 0.413609, 0.739138, 1.5192990303039551, 0.2313625514507294, 3.3983638286590576, 2.7806241512298584,1.00, 0.2608524590163934
2.500000, 6.666667, 0.370886, 0.725495, 1.5123822689056396, 0.2155578583478928, 3.4726145267486572, 2.7453575134277344,2.00, 0.2608524590163934
2.500000, 7.500000, 0.336787, 0.711099, 1.5026212930679321, 0.2124259918928146, 3.5459103584289551, 2.6998629570007324,2.00, 0.2608524590163934
2.500000, 8.333333, 0.309867, 0.697114, 1.4868848323822021, 0.2150482386350632, 3.6232380867004395, 2.6792683601379395,2.00, 0.2608524590163934
2.500000, 9.166667, 0.288373, 0.682076, 1.4719866514205933, 0.2225040644407272, 3.6760935783386230, 2.6728858947753906,1.00, 0.2608524590163934
2.500000, 10.000000, 0.270967, 0.664631, 1.4576494693756104, 0.2330261915922165, 3.7111268043518066, 2.6760768890380859,1.00, 0.2608524590163934
2.500000, 10.833333, 0.256722, 0.644768, 1.4472322463989258, 0.2470426559448242, 3.7372214794158936, 2.6727981567382812,1.00, 0.2608524590163934
2.500000, 11.666667, 0.245010, 0.623537, 1.4306932687759399, 0.2584523856639862, 3.7414445877075195, 2.6880865097045898,1.00, 0.2608524590163934
2.500000, 12.500000, 0.235374, 0.602108, 1.4166655540466309, 0.2709771394729614, 3.7028965950012207, 2.7075607776641846,1.00, 0.2608524590163934
2.500000, 13.333333, 0.227442, 0.581409, 1.4031348228454590, 0.2831242978572845, 3.6535522937774658, 2.7239868640899658,1.00, 0.2608524590163934
2.500000, 14.166667, 0.220904, 0.562227, 1.3912358283996582, 0.2952730357646942, 3.5954780578613281, 2.7364919185638428,1.00, 0.2608524590163934
2.500000, 15.000000, 0.215505, 0.545087, 1.3843669891357422, 0.3093526065349579, 3.5429513454437256, 2.7355036735534668,1.00, 0.2608524590163934
2.500000, 15.833333, 0.211026, 0.530290, 1.3818035125732422, 0.3248043656349182, 3.4879148006439209, 2.7257699966430664,1.00, 0.2608524590163934
2.500000, 16.666667, 0.207284, 0.517848, 1.3810908794403076, 0.3400569856166840, 3.4227931499481201, 2.7145173549652100,1.00, 0.2608524590163934
3.333333, 0.833333, 0.743786, 0.458880, 1.4522182941436768, 0.6081272363662720, 2.7407441139221191, 2.1955444812774658,3.00, 0.2608524590163934
3.333333, 1.666667, 0.686194, 0.581061, 1.4855285882949829, 0.5188421010971069, 2.8353619575500488, 2.4530222415924072,3.00, 0.2608524590163934
3.333333, 2.500000, 0.675406, 0.686234, 1.5265021324157715, 0.3960197567939758, 2.9811604022979736, 2.6885001659393311,1.00, 0.2608524590163934
3.333333, 3.333333, 0.648860, 0.752059, 1.5402545928955078, 0.3198204934597015, 3.0597357749938965, 2.7987158298492432,1.00, 0.2608524590163934
3.333333, 4.166667, 0.600933, 0.784197, 1.5396180152893066, 0.2731894552707672, 3.1727743148803711, 2.8422453403472900,1.00, 0.2608524590163934
3.333333, 5.000000, 0.544172, 0.792943, 1.5347449779510498, 0.2293605059385300, 3.2940359115600586, 2.8623895645141602,1.00, 0.2608524590163934
3.333333, 5.833333, 0.489590, 0.790806, 1.5307666063308716, 0.1950787901878357, 3.3920977115631104, 2.8616366386413574,1.00, 0.2608524590163934
3.333333, 6.666667, 0.442401, 0.784217, 1.5256127119064331, 0.1764119714498520, 3.4809663295745850, 2.8351445198059082,1.00, 0.2608524590163934
3.333333, 7.500000, 0.403553, 0.776235, 1.5202267169952393, 0.1702093183994293, 3.5468320846557617, 2.7849903106689453,1.00, 0.2608524590163934
3.333333, 8.333333, 0.371842, 0.767289, 1.5150585174560547, 0.1715190410614014, 3.5834894180297852, 2.7330873012542725,1.00, 0.2608524590163934
3.333333, 9.166667, 0.345659, 0.755854, 1.5055457353591919, 0.1755432486534119, 3.6709084510803223, 2.6932578086853027,1.00, 0.2608524590163934
3.333333, 10.000000, 0.323734, 0.740316, 1.4939925670623779, 0.1817341595888138, 3.7317371368408203, 2.6792197227478027,1.00, 0.2608524590163934
3.333333, 10.833333, 0.305186, 0.720159, 1.4815224409103394, 0.1895763576030731, 3.7596707344055176, 2.6783356666564941,1.00, 0.2608524590163934
3.333333, 11.666667, 0.289432, 0.696097, 1.4660178422927856, 0.1967826187610626, 3.7875463962554932, 2.6843094825744629,1.00, 0.2608524590163934
3.333333, 12.500000, 0.276064, 0.669600, 1.4514935016632080, 0.2045969665050507, 3.7970986366271973, 2.6945054531097412,1.00, 0.2608524590163934
