Resolution,Kind,Interp-pair,MSE,CC,MI
25,sample-warp,sample-bicubic_bicubic,0.0017432093471801738,0.8699359920314534,0.9207105061937962
25,sample-warp,sample-bicubic_bilinear,0.0016951717318103314,0.8742509968544173,0.9359484065618385
25,sample-warp,sample-bicubic_no_interp,0.0017081410614353677,0.8740711036548796,0.9230211605672575
25,sample-warp,sample-bilinear_bicubic,0.001741281202799121,0.8697886397595019,0.9204837565235409
25,sample-warp,sample-bilinear_bilinear,0.0016933257006960254,0.8741022578139156,0.9355700766215037
25,sample-warp,sample-bilinear_no_interp,0.0017061943839170113,0.8739293031182989,0.9228244767757081
25,sample-warp,sample-no_interp_bicubic,0.0017457674869439963,0.8696762434495338,0.9182230303750321
25,sample-warp,sample-no_interp_bilinear,0.00169775630955502,0.8739897879603689,0.9327722694979531
25,sample-warp,sample-no_interp_no_interp,0.0017106932716098944,0.8738120947231703,0.9209295105000016
25,sample-warped,bicubic,8837802554.206184,0.8497335626307664,0.5436683238881347
25,sample-warped,bilinear,8788051500.938272,0.8516565328567255,0.5342610404486043
25,sample-warped,no_interp,8853030832.787144,0.8476452543884151,0.5185700226003883
