Resolution,Kind,Interp-pair,MSE,CC,MI
40,sample-warp,sample-bicubic_bicubic,0.00039797610112348705,0.9755489694553671,1.565370502462522
40,sample-warp,sample-bicubic_bilinear,0.00031464613597289594,0.9800961378828646,1.6811682110151307
40,sample-warp,sample-bicubic_no_interp,0.00030808380120481415,0.9798496860468314,1.6481478889954972
40,sample-warp,sample-bilinear_bicubic,0.00039703939958215834,0.9755202576510293,1.5651966473133576
40,sample-warp,sample-bilinear_bilinear,0.0003137869565684228,0.9800797391870371,1.6809938737205203
40,sample-warp,sample-bilinear_no_interp,0.00030731059461092374,0.9798298765130639,1.6483191808951527
40,sample-warp,sample-no_interp_bicubic,0.00040404335096601903,0.9750239316732112,1.5573898614828474
40,sample-warp,sample-no_interp_bilinear,0.000320712510530968,0.9795834887491832,1.6702418415003504
40,sample-warp,sample-no_interp_no_interp,0.00031120501025065113,0.9795910758375567,1.6437309671305647
40,sample-warped,bicubic,8838261016.671762,0.8527880746163979,0.5574276487565191
40,sample-warped,bilinear,8794132569.281513,0.8550158639378996,0.5517822741143391
40,sample-warped,no_interp,8852322369.962103,0.8517173908507687,0.5348310193879079
