Resolution,Interp-pair,MSE_t,CC_t,MSE_f,CC_f
20,bicubic_bilinear,1.3523520978470841e-05,0.9999887222913799,5.737153601764706e-12,0.999999999999996
20,bicubic_no_interp,1.9951920239229903e-05,0.9999834984602064,5.6521752253506655e-05,0.9999999999995199
20,bilinear_no_interp,3.6061367052275367e-05,0.9999660122952967,5.655071726159847e-05,0.9999999999994273
