Resolution,Kind,Interp-pair,MSE,CC,MI
60,warp,bicubic_bilinear,5.441251072478547e-05,0.9956723104159584,2.492608890787617
60,warp,bicubic_no_interp,5.534908829646387e-05,0.9956378691832758,2.534497356182491
60,warp,bilinear_no_interp,2.6929250591584544e-05,0.997912790032913,2.8392630408135204
60,warped,bicubic,8827700772.228535,0.8987809919875132,0.6906626413689242
60,warped,bilinear,8774029368.140705,0.9002123856990472,0.6893955973470088
60,warped,no_interp,8836698073.0204,0.8969053823565624,0.6635183593521519
