Resolution,Kind,Interp-pair,MSE,CC,MI
15,warp,bicubic_bilinear,5.049764475366788e-05,0.989879771601352,1.9754950927194193
15,warp,bicubic_no_interp,1.8807062648706306e-05,0.9955744325376337,2.1745470448656614
15,warp,bilinear_no_interp,4.585485406571791e-05,0.9910975682452761,2.034366890117612
15,warped,bicubic,8838109300.94405,0.8881069593904602,0.618603997360363
15,warped,bilinear,8794406293.460129,0.8898819943641633,0.6170414552869474
15,warped,no_interp,8861107666.966763,0.8862760528252704,0.5995212260196349
