Resolution,Kind,Interp-pair,MSE,CC,MI
60,sample-warp,sample-bicubic_bicubic,0.0002702226557196872,0.9792382800294193,1.654150992041743
60,sample-warp,sample-bicubic_bilinear,0.0003460036019161714,0.9733426449783023,1.586804452716557
60,sample-warp,sample-bicubic_no_interp,0.00034114732120773514,0.9737608750164132,1.6125079745755637
60,sample-warp,sample-bilinear_bicubic,0.0002695762838632389,0.979249669189972,1.6548334537233516
60,sample-warp,sample-bilinear_bilinear,0.00034520304948300546,0.9733597467923814,1.587613765184938
60,sample-warp,sample-bilinear_no_interp,0.0003402519115319461,0.9737746798201091,1.613092020067795
60,sample-warp,sample-no_interp_bicubic,0.000271627615266033,0.9791297108292664,1.6535924125711507
60,sample-warp,sample-no_interp_bilinear,0.0003473289572731338,0.9732400326977327,1.588527507397175
60,sample-warp,sample-no_interp_no_interp,0.0003424462833643188,0.973659993438156,1.6166193430772988
60,sample-warped,bicubic,8827950163.5958,0.8569542949730846,0.602912573140252
60,sample-warped,bilinear,8774267473.182936,0.8591402679058899,0.599753738752961
60,sample-warped,no_interp,8836937871.142298,0.8558403540014031,0.5716319757054793
