Resolution,Kind,Interp-pair,MSE,CC,MI
15,sample-warp,sample-bicubic_bicubic,0.0035249779293614054,0.699686318815516,0.471543902944238
15,sample-warp,sample-bicubic_bilinear,0.003510097647748374,0.696399482092564,0.47075373180146424
15,sample-warp,sample-bicubic_no_interp,0.003557835762398352,0.6961992201823447,0.462970881447841
15,sample-warp,sample-bilinear_bicubic,0.003521700070333339,0.699446403829727,0.47133667138478674
15,sample-warp,sample-bilinear_bilinear,0.0035069659401879326,0.696171422586121,0.47057540550608823
15,sample-warp,sample-bilinear_no_interp,0.0035545271377400755,0.6959580288316006,0.46279083821263656
15,sample-warp,sample-no_interp_bicubic,0.0035296635196399324,0.6994950258497825,0.47109046359300377
15,sample-warp,sample-no_interp_bilinear,0.003514944368827874,0.6961857205591246,0.4703675908116664
15,sample-warp,sample-no_interp_no_interp,0.0035596017619155228,0.6964021602726528,0.46327025978938485
15,sample-warped,bicubic,8838275665.536531,0.8453840762072669,0.5316541945542654
15,sample-warped,bilinear,8794566045.08879,0.8472912902381582,0.524075094482439
15,sample-warped,no_interp,8861273427.569561,0.8438855939365434,0.5108778083746541
