Resolution,Kind,Interp-pair,MSE,CC,MI
20,sample-warp,sample-bicubic_bicubic,0.0027583622406957484,0.7758057163470371,0.64971208647213
20,sample-warp,sample-bicubic_bilinear,0.0027193863368061757,0.777146344806757,0.648562897515505
20,sample-warp,sample-bicubic_no_interp,0.002793692110024443,0.7719972056034284,0.6400630728747679
20,sample-warp,sample-bilinear_bicubic,0.0027558967064426616,0.775624471525731,0.6492538728066827
20,sample-warp,sample-bilinear_bilinear,0.0027169781389929206,0.7769709321667353,0.6484691239297701
20,sample-warp,sample-bilinear_no_interp,0.0027912125788946765,0.7718148397533311,0.6399232284764974
20,sample-warp,sample-no_interp_bicubic,0.002760873139576652,0.7755244028034138,0.6482980666750621
20,sample-warp,sample-no_interp_bilinear,0.0027220313935937828,0.7768547468618978,0.6476911778012164
20,sample-warp,sample-no_interp_no_interp,0.002794768295419529,0.7718784099498113,0.6396161562032608
20,sample-warped,bicubic,8838272672.531965,0.8476464627823312,0.5366633062507581
20,sample-warped,bilinear,8794252339.02313,0.8492522386738791,0.5286576838448928
20,sample-warped,no_interp,8852828843.672762,0.8463841450387324,0.5150263803899069
