Resolution,Kind,Interp-pair,MSE,CC,MI
150,sample-warp,sample-bicubic_bicubic,0.002251673809992756,0.8439971338153766,1.057331894499594
150,sample-warp,sample-bicubic_bilinear,0.0025023744452076606,0.8302886436847328,1.0546056833896273
150,sample-warp,sample-bicubic_no_interp,0.0024228288520929224,0.8306303868464859,1.0563405944823379
150,sample-warp,sample-bilinear_bicubic,0.002235497045553804,0.8446871586946133,1.0541195975651627
150,sample-warp,sample-bilinear_bilinear,0.0024866427061182046,0.8309234734176525,1.05154603338263
150,sample-warp,sample-bilinear_no_interp,0.0024059373944696266,0.8312563500893769,1.0519140140928416
150,sample-warp,sample-no_interp_bicubic,0.002253763913286471,0.8434023779604386,1.0600093315345707
150,sample-warp,sample-no_interp_bilinear,0.0025071402492728243,0.8295288488784737,1.0572439214022291
150,sample-warp,sample-no_interp_no_interp,0.002421827657862251,0.8301471396042893,1.0592535598659585
150,sample-warped,bicubic,8736037231.202188,0.8707754542026962,1.0850357803978754
150,sample-warped,bilinear,8581673443.916188,0.8773046641672261,1.077472817527751
150,sample-warped,no_interp,8607480324.40494,0.8738846585749193,1.0320986715059155
