Resolution,Kind,Interp-pair,MSE,CC,MI
75,warp,bicubic_bilinear,2.9457218377528577e-05,0.9976480089716045,2.637332410559859
75,warp,bicubic_no_interp,5.7628809254450585e-05,0.9957274448227008,2.4105218872101846
75,warp,bilinear_no_interp,2.9231408089654505e-05,0.9978022498386676,2.63422478947017
75,warped,bicubic,8813705539.099909,0.9011734521827363,0.7425773507821685
75,warped,bilinear,8860962930.826857,0.9011718771776543,0.7121988642107842
75,warped,no_interp,8860966622.610563,0.9013717776168126,0.7125370701624867
