Resolution,Kind,Interp-pair,MSE,CC,MI
75,sample-warp,sample-bicubic_bicubic,0.0005962265161764491,0.9537420867092421,1.3674677951311063
75,sample-warp,sample-bicubic_bilinear,0.0006049919573588882,0.9530766063773627,1.3514694654171147
75,sample-warp,sample-bicubic_no_interp,0.0005731328101867531,0.9558696502691748,1.375239765269147
75,sample-warp,sample-bilinear_bicubic,0.0005933485602755251,0.9538451112503998,1.366189304242559
75,sample-warp,sample-bilinear_bilinear,0.0006021775295855142,0.9531859145710082,1.3497801806443261
75,sample-warp,sample-bilinear_no_interp,0.000570512850924031,0.9559876738310886,1.3740280505506506
75,sample-warp,sample-no_interp_bicubic,0.0006047096496120805,0.95331335869648,1.3536241414885934
75,sample-warp,sample-no_interp_bilinear,0.0006117513224776437,0.9527647311962996,1.3388443442252842
75,sample-warp,sample-no_interp_no_interp,0.0005785571247840084,0.9556176298843625,1.3637403952037017
75,sample-warped,bicubic,8813956463.577017,0.8598358460133111,0.6678191648610328
75,sample-warped,bilinear,8861223444.866611,0.8597205469373432,0.6274512562979632
75,sample-warped,no_interp,8861235079.72568,0.8590920404785349,0.6277752771272396
