Resolution,Kind,Interp-pair,MSE,CC,MI
100,sample-warp,sample-bicubic_bicubic,0.0020403785480311823,0.8564314874017633,1.0934393410347256
100,sample-warp,sample-bicubic_bilinear,0.0022043162307587537,0.8504029537174949,1.0849965603874212
100,sample-warp,sample-bicubic_no_interp,0.0017749077526282616,0.8772504239234179,1.133683743687888
100,sample-warp,sample-bilinear_bicubic,0.0020334935900995026,0.8566648946603883,1.0890947343016226
100,sample-warp,sample-bilinear_bilinear,0.002197724424919204,0.8506522275747729,1.0819750187139086
100,sample-warp,sample-bilinear_no_interp,0.001769056018773026,0.8774986778061299,1.129232858968485
100,sample-warp,sample-no_interp_bicubic,0.002038280752033397,0.8564983927878072,1.0955755331702515
100,sample-warp,sample-no_interp_bilinear,0.0022023149851746232,0.8504749418721423,1.0879094148979531
100,sample-warp,sample-no_interp_no_interp,0.0017731489427849985,0.8773214211137045,1.1358635285769585
100,sample-warped,bicubic,8788927891.015085,0.8647510933058791,0.7999711710405862
100,sample-warped,bilinear,8680676824.841108,0.8686036805547822,0.7952203137590432
100,sample-warped,no_interp,8769763618.539928,0.8647080571284544,0.758274287185273
