S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
0.833333, 1.666667, 0.584094, 0.646947, 1.2981218854294461, 0.7585226256585882, 2.9320257574788924, 2.1330134880837743,0.5343662803750808, 0.6477958540700444, 3.0849228374899975, 1.8371728265778233,1.00, 0.1513205760000000
0.833333, 2.083333, 0.577291, 0.697213, 1.2360018718753694, 0.7905379760562137, 3.0091631931340852, 2.1405273032061403,0.2770002683435333, 0.4216318702767457, 3.1197867010052072, 1.8225727528430875,1.00, 0.1513205760000000
0.833333, 2.500000, 0.573167, 0.740280, 1.1703481320089251, 0.8198306004676944, 3.0847269981298697, 2.1163935643697718,0.1313978835863998, 0.1785303735377150, 3.1456121850699152, 1.8155280539427254,1.00, 0.1513205760000000
0.833333, 2.916667, 0.568461, 0.776810, 1.1102805777239424, 0.8378020262721285, 3.1551138201564295, 2.0498372264277798,0.0813325744323873, 0.0695097690858492, 3.1844960217206859, 1.8106160688345316,1.00, 0.1513205760000000
0.833333, 3.333333, 0.560412, 0.809057, 1.0442203671001686, 0.8385981655178799, 3.2262368030925290, 1.9352436165672247,0.0620840415009019, 0.0441722888449842, 3.2254506229294146, 1.8091181997185302,1.00, 0.1513205760000000
0.833333, 3.750000, 0.549087, 0.831666, 0.9679155347459816, 0.8218163335044859, 3.2927964415841009, 1.7930510514914992,0.0516686474741187, 0.0363827508089527, 3.2816743467257519, 1.8054713529331596,1.00, 0.1513205760000000
0.833333, 4.166667, 0.536580, 0.839784, 0.8956757569582626, 0.7962326137016674, 3.3421809321748248, 1.6537080330450038,0.0451114154957066, 0.0311700045688959, 3.3577743793746109, 1.7970687121349487,1.00, 0.1513205760000000
0.833333, 4.583333, 0.524480, 0.839635, 0.8348816575927881, 0.7720635667943330, 3.3625994797359553, 1.5292355918176630,0.0407278877189472, 0.0274905625223063, 3.4397077422300084, 1.7862747998307520,1.00, 0.1513205760000000
0.833333, 5.000000, 0.513460, 0.836313, 0.7746457143626555, 0.7422702194709545, 3.3497309860408104, 1.4092680739872949,0.0377273196981757, 0.0248186444451132, 3.5297541710383977, 1.7726608862818591,1.00, 0.1513205760000000
0.833333, 5.416667, 0.503691, 0.832218, 0.7072840961406677, 0.6992197187083704, 3.3149448348882999, 1.2833250621666423,0.0356870993191348, 0.0228065734110611, 3.6196352211550948, 1.7537837952614732,1.00, 0.1513205760000000
0.833333, 5.833333, 0.495072, 0.828266, 0.6415883796716880, 0.6510694070871217, 3.2657720058772943, 1.1629077500117651,0.0343157873566373, 0.0212495373640497, 3.6728723435050199, 1.7358901403881439,1.00, 0.1513205760000000
0.833333, 6.250000, 0.487380, 0.824568, 0.5779855556943395, 0.5982021829477517, 3.2234530379770616, 1.0440026564042419,0.0333648478560015, 0.0200678852891725, 3.6841694989645055, 1.7246831399260107,1.00, 0.1513205760000000
0.833333, 6.666667, 0.480448, 0.820979, 0.5165699578083116, 0.5395213496544955, 3.1869564059647328, 0.9273976632358437,0.0326705355584102, 0.0192033162462585, 3.6933779840722774, 1.7116579621996888,1.00, 0.1513205760000000
0.833333, 7.083333, 0.474132, 0.817260, 0.4602994614285972, 0.4792156317918876, 3.1524071755395480, 0.8171829450703714,0.0321354473823420, 0.0185805095394257, 3.7028953227035646, 1.6945117109579646,1.00, 0.1513205760000000
0.833333, 7.500000, 0.468304, 0.813165, 0.4144808545582886, 0.4316103892866905, 3.1346591155037231, 0.7320149793221893,0.0316950276939387, 0.0181201185302020, 3.7087476691228769, 1.6751625455710570,1.00, 0.1513205760000000
0.833333, 7.916667, 0.462897, 0.808532, 0.3762864491914676, 0.3947620130400974, 3.1284861508783774, 0.6731862349628237,0.0313149074682104, 0.0177600013858041, 3.7215276732070022, 1.6496785254796458,1.00, 0.1513205760000000
