S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
0.833333, 1.666667, 0.589306, 0.652181, 1.1806860918247046, 0.8181195443422523, 2.8133297451912123, 1.9832959577900593,0.5406997551503541, 0.6517180851573959, 3.0664207956891043, 1.8611411289120285,1.00, 0.1398056960000000
0.833333, 2.083333, 0.584196, 0.704883, 1.0672417863086512, 0.8373753879320365, 2.8546133583520352, 1.9269108718575696,0.2747744463983073, 0.4173902181339741, 3.1297451122286577, 1.8550009306633142,1.00, 0.1398056960000000
0.833333, 2.500000, 0.581734, 0.750846, 0.9352595145901887, 0.8235507921111689, 2.9342466071762172, 1.8149283899421580,0.1200868144394437, 0.1189231456589871, 3.1668078492196101, 1.8510873106399046,1.00, 0.1398056960000000
0.833333, 2.916667, 0.577552, 0.790820, 0.8012746153810235, 0.7702738918103930, 3.0482060468944532, 1.6340983081642808,0.0765023062618040, 0.0550059097328131, 3.1916264157968115, 1.8573124608305605,1.00, 0.1398056960000000
0.833333, 3.333333, 0.569399, 0.827302, 0.6774840616283883, 0.6825617465329684, 3.1723051026159039, 1.4035404330856169,0.0575343154310054, 0.0404107636619287, 3.2207712224170533, 1.8612871822763568,1.00, 0.1398056960000000
0.833333, 3.750000, 0.558151, 0.853972, 0.5851778364300320, 0.5917916661160686, 3.2249550069832971, 1.1785783127275302,0.0472366480417417, 0.0333411458724399, 3.2621575435501264, 1.8617190440163902,1.00, 0.1398056960000000
0.833333, 4.166667, 0.545931, 0.864819, 0.5177079691412581, 0.5031972940119718, 3.2352008543235082, 0.9774634687679750,0.0410480794015336, 0.0285482521633949, 3.3185653048887240, 1.8599626550464041,1.00, 0.1398056960000000
0.833333, 4.583333, 0.534217, 0.866333, 0.4698843448826016, 0.4266169345658494, 3.2171831312822623, 0.8087572167166481,0.0371594936000117, 0.0250838769407999, 3.3851072091784604, 1.8515664968458376,1.00, 0.1398056960000000
0.833333, 5.000000, 0.523598, 0.864050, 0.4331010993984049, 0.3614202117033891, 3.2005921613510466, 0.6745680777903906,0.0347046885875469, 0.0224594853035429, 3.4358274449681558, 1.8406309226745396,1.00, 0.1398056960000000
0.833333, 5.416667, 0.514204, 0.860612, 0.4026103075861381, 0.3047517966518253, 3.1853680724495814, 0.5610211327953585,0.0331294639167856, 0.0205087713008105, 3.4731565075032109, 1.8306366722686704,1.00, 0.1398056960000000
0.833333, 5.833333, 0.505915, 0.857031, 0.3805790214328919, 0.2740882908258460, 3.1798799698561018, 0.4867742736842676,0.0321119247217282, 0.0191052929058498, 3.5206037106503874, 1.8136278972200339,1.00, 0.1398056960000000
0.833333, 6.250000, 0.498508, 0.853513, 0.3623493621720048, 0.2593617521033082, 3.1812364064967711, 0.4381649175789479,0.0314497319758681, 0.0181386443310130, 3.5579966333611841, 1.7921148799532109,1.00, 0.1398056960000000
0.833333, 6.666667, 0.491818, 0.850005, 0.3442271986808033, 0.2456087042100752, 3.1822699920813089, 0.3954284828086049,0.0310263349896299, 0.0175087875447692, 3.5936324324400251, 1.7648528877799430,1.00, 0.1398056960000000
0.833333, 7.083333, 0.485707, 0.846334, 0.3266404112476960, 0.2338833550140310, 3.1831682452987149, 0.3646320749219769,0.0307745027352852, 0.0171129967135653, 3.6257829883310597, 1.7334127871274454,1.00, 0.1398056960000000
0.833333, 7.500000, 0.480046, 0.842291, 0.3087400900658683, 0.2190149056502081, 3.1840392518418912, 0.3336957977498603,0.0306470344932387, 0.0168584055274634, 3.6613849929467870, 1.6966957831249694,1.00, 0.1398056960000000
0.833333, 7.916667, 0.474773, 0.837713, 0.2917451368006528, 0.2061975545921007, 3.1845876583639123, 0.3074944172086602,0.0306167528080921, 0.0166783374546802, 3.7020544310638308, 1.6560116317008626,1.00, 0.1398056960000000
