S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
0.833333, 1.666667, 0.619372, 0.724522, 1.4873745544998811, 0.5243613640587745, 2.9676974374547780, 2.4137985898535921,1.00, 0.1128960000000000
0.833333, 2.083333, 0.601753, 0.778963, 1.5096432274018088, 0.4603397028737612, 3.0841691181348891, 2.5977612440506186,1.00, 0.1128960000000000
0.833333, 2.500000, 0.573619, 0.811167, 1.5223506589765936, 0.3936358093512005, 3.1770708118009674, 2.7556990810208108,1.00, 0.1128960000000000
0.833333, 2.916667, 0.534299, 0.817223, 1.5224752937267838, 0.3631148480038063, 3.2347246254776598, 2.8325893778780151,2.00, 0.1128960000000000
0.833333, 3.333333, 0.488211, 0.790830, 1.5207291318802945, 0.3500397817691088, 3.3011906057854645, 2.8605224265351992,2.00, 0.1128960000000000
0.833333, 3.750000, 0.441260, 0.726779, 1.5177059618203115, 0.3443957748914230, 3.3637647671057254, 2.8666982662839362,2.00, 0.1128960000000000
0.833333, 4.166667, 0.397971, 0.637279, 1.5127053544141458, 0.3466466422912914, 3.4211882474824002, 2.8587935912796816,2.00, 0.1128960000000000
0.833333, 4.583333, 0.360698, 0.543554, 1.5034176600225932, 0.3584568716217710, 3.4880663149654767, 2.8371782542758939,1.00, 0.1128960000000000
0.833333, 5.000000, 0.329966, 0.460151, 1.4853884840408711, 0.3825097303074407, 3.5388705031125540, 2.8004353728166023,1.00, 0.1128960000000000
0.833333, 5.416667, 0.305297, 0.392158, 1.4600201991487707, 0.4214454082473485, 3.5738078122929227, 2.7544256773091513,1.00, 0.1128960000000000
0.833333, 5.833333, 0.285721, 0.338916, 1.4207141124838540, 0.4739057800323961, 3.5959262807851107, 2.6893825814368504,1.00, 0.1128960000000000
0.833333, 6.250000, 0.270226, 0.297630, 1.3668087054975238, 0.5365973903627095, 3.6145675120844127, 2.6140315008959116,1.00, 0.1128960000000000
0.833333, 6.666667, 0.258085, 0.265877, 1.2932276421297344, 0.6016629364154502, 3.6415566122087064, 2.5331474834438072,1.00, 0.1128960000000000
0.833333, 7.083333, 0.248772, 0.242007, 1.2085837236347547, 0.6616622012177841, 3.6469425545779597, 2.4478977982841443,1.00, 0.1128960000000000
0.833333, 7.500000, 0.241888, 0.224879, 1.1094455269702352, 0.7130098310352468, 3.6577273993796227, 2.3548642182032840,1.00, 0.1128960000000000
0.833333, 7.916667, 0.237146, 0.213655, 0.9947038937918325, 0.7508793202777526, 3.6675585892514286, 2.2638240775810088,1.00, 0.1128960000000000
0.833333, 8.333333, 0.234288, 0.207596, 0.8769195659282634, 0.7677873704386629, 3.6769171171830788, 2.1800436124987730,1.00, 0.1128960000000000
0.833333, 8.750000, 0.233064, 0.206068, 0.7594216110994351, 0.7647374226427782, 3.7171298862914646, 2.1141431610967949,1.00, 0.1128960000000000
0.833333, 9.166667, 0.233243, 0.208559, 0.6427881877710107, 0.7421200950600614, 3.7687492520600712, 2.0581603794594430,1.00, 0.1128960000000000
0.833333, 9.583333, 0.234594, 0.214620, 0.5271961847434152, 0.6930276763081133, 3.8321914694031838, 2.0078662951851687,1.00, 0.1128960000000000
0.833333, 10.000000, 0.236895, 0.223832, 0.4346531473116004, 0.6425761364346636, 3.8804949816907142, 1.9595361902043564,1.00, 0.1128960000000000
1.250000, 1.666667, 0.815412, 0.855569, 1.5477056156755611, 0.3763460423397421, 3.0517939432813757, 2.6955348476934282,2.00, 0.1128960000000000
1.250000, 2.083333, 0.805940, 0.902473, 1.5604665573875172, 0.2643390667858063, 3.1289467381448008, 2.8748528527083268,2.00, 0.1128960000000000
1.250000, 2.500000, 0.782263, 0.928406, 1.5616624116164728, 0.2057061715002880, 3.1489918389298608, 2.9566783577311937,2.00, 0.1128960000000000
1.250000, 2.916667, 0.745011, 0.935421, 1.5623576769979719, 0.1716594421476545, 3.1593749989566593, 2.9909987490153696,2.00, 0.1128960000000000
1.250000, 3.333333, 0.700797, 0.933069, 1.5634276547240209, 0.1469653775071962, 3.1826988682005890, 3.0084314710129592,2.00, 0.1128960000000000
1.250000, 3.750000, 0.654980, 0.928212, 1.5640186747824469, 0.1298032389180330, 3.2165522030765512, 3.0164422545654510,2.00, 0.1128960000000000
1.250000, 4.166667, 0.611127, 0.922639, 1.5641393112269901, 0.1206954837327861, 3.2634090512174274, 3.0152511965347708,2.00, 0.1128960000000000
1.250000, 4.583333, 0.571266, 0.916310, 1.5641800624414719, 0.1171293059350586, 3.3336746272178299, 3.0054418289327827,2.00, 0.1128960000000000
1.250000, 5.000000, 0.536040, 0.908530, 1.5637867042228484, 0.1163999798001679, 3.3980260870677950, 2.9909544154059642,2.00, 0.1128960000000000
1.250000, 5.416667, 0.505254, 0.898915, 1.5631102674555681, 0.1185470999229620, 3.4711778585319872, 2.9714900203732095,2.00, 0.1128960000000000
1.250000, 5.833333, 0.478212, 0.887435, 1.5618789283147454, 0.1233690512520684, 3.5206221628567196, 2.9479842045817182,2.00, 0.1128960000000000
1.250000, 6.250000, 0.454041, 0.874204, 1.5609336829910951, 0.1310879842294530, 3.5568091012566656, 2.9214679550096601,2.00, 0.1128960000000000
1.250000, 6.666667, 0.432063, 0.859279, 1.5597109521616561, 0.1420588122081419, 3.5843572036118085, 2.8949486860183167,2.00, 0.1128960000000000
1.250000, 7.083333, 0.411782, 0.842657, 1.5579970629945143, 0.1565434553305442, 3.5995576391196407, 2.8611580609324561,2.00, 0.1128960000000000
1.250000, 7.500000, 0.392831, 0.824360, 1.5549630021020799, 0.1754166165148023, 3.6331094776384036, 2.8240470381762628,2.00, 0.1128960000000000
1.250000, 7.916667, 0.375053, 0.804519, 1.5506138176402666, 0.2002913285113218, 3.6645394437017500, 2.7943995492921054,2.00, 0.1128960000000000
1.250000, 8.333333, 0.358380, 0.783299, 1.5444882410330125, 0.2298120705413428, 3.6969580338285448, 2.7596363019769039,2.00, 0.1128960000000000
1.250000, 8.750000, 0.342762, 0.760957, 1.5351717737321173, 0.2657603089164295, 3.7254871778372474, 2.7244848025537336,2.00, 0.1128960000000000
1.250000, 9.166667, 0.328236, 0.737864, 1.5216735340391627, 0.3083070105757609, 3.7389178100799638, 2.6942375338761253,2.00, 0.1128960000000000
1.250000, 9.583333, 0.314838, 0.714390, 1.5033326914193037, 0.3587195926736011, 3.7429866974476078, 2.6663852378451933,2.00, 0.1128960000000000
1.250000, 10.000000, 0.302582, 0.690892, 1.4761872276425039, 0.4163385725406100, 3.7409797046927227, 2.6330857631152318,2.00, 0.1128960000000000
1.666667, 1.666667, 0.894879, 0.891232, 1.5672334447128797, 0.2256251936904853, 3.0862470058785232, 2.9011338054482922,2.00, 0.1128960000000000
1.666667, 2.083333, 0.877345, 0.914279, 1.5673393991908695, 0.1564790989740351, 3.1129137094606483, 2.9825665148712277,2.00, 0.1128960000000000
1.666667, 2.500000, 0.849040, 0.917944, 1.5675434626389193, 0.1227547250981891, 3.1121653345230249, 3.0140475605686197,2.00, 0.1128960000000000
1.666667, 2.916667, 0.813898, 0.911372, 1.5684428271677013, 0.0997447059460076, 3.1091674991243128, 3.0300512092225600,2.00, 0.1128960000000000
1.666667, 3.333333, 0.776027, 0.902478, 1.5687812579371665, 0.0848767288914357, 3.1323324180956815, 3.0374210313346048,2.00, 0.1128960000000000
1.666667, 3.750000, 0.738276, 0.894865, 1.5686233781158387, 0.0761584044362217, 3.1594965234089805, 3.0389964940932024,2.00, 0.1128960000000000
1.666667, 4.166667, 0.702778, 0.890366, 1.5685544536650597, 0.0713670116653649, 3.1914412387515392, 3.0368179300922455,2.00, 0.1128960000000000
1.666667, 4.583333, 0.670841, 0.889836, 1.5685376089735807, 0.0688802323489492, 3.2246156433458291, 3.0309720023736668,2.00, 0.1128960000000000
1.666667, 5.000000, 0.642860, 0.893359, 1.5684318188483901, 0.0682116721610804, 3.2597908307353585, 3.0225555654254559,2.00, 0.1128960000000000
1.666667, 5.416667, 0.618587, 0.899727, 1.5681339372651364, 0.0686745417852626, 3.2932928267899184, 3.0121946003487579,2.00, 0.1128960000000000
1.666667, 5.833333, 0.597366, 0.906753, 1.5678082544403151, 0.0701443954149120, 3.3380400019795178, 2.9968006822283679,2.00, 0.1128960000000000
1.666667, 6.250000, 0.578384, 0.912550, 1.5675500596536804, 0.0725054390328420, 3.3841349445531068, 2.9832758206988772,2.00, 0.1128960000000000
1.666667, 6.666667, 0.560964, 0.916174, 1.5670995300325521, 0.0756699093186512, 3.4251448625241978, 2.9650591599553411,2.00, 0.1128960000000000
1.666667, 7.083333, 0.544580, 0.917603, 1.5663091355619521, 0.0796707844498128, 3.4597909128622319, 2.9492047584206995,2.00, 0.1128960000000000
1.666667, 7.500000, 0.528828, 0.917068, 1.5655272497674675, 0.0846044538445535, 3.4794793596192228, 2.9356710527553580,2.00, 0.1128960000000000
1.666667, 7.916667, 0.513487, 0.914792, 1.5648252066122006, 0.0903937518917530, 3.4922377304528660, 2.9221134804603901,2.00, 0.1128960000000000
1.666667, 8.333333, 0.498435, 0.910966, 1.5642608251958663, 0.0971693680962994, 3.5079842075953955, 2.9095684309436445,2.00, 0.1128960000000000
1.666667, 8.750000, 0.483579, 0.905721, 1.5640451288796020, 0.1049971447672236, 3.5254047164939983, 2.8930006715405741,2.00, 0.1128960000000000
1.666667, 9.166667, 0.468919, 0.899139, 1.5632576049004177, 0.1139486131979047, 3.5389407606306555, 2.8754541416131936,1.00, 0.1128960000000000
1.666667, 9.583333, 0.454479, 0.891264, 1.5622019722795872, 0.1241542232449821, 3.5435523025903279, 2.8612160182009743,1.00, 0.1128960000000000
1.666667, 10.000000, 0.440272, 0.882121, 1.5611898499309904, 0.1357615726627104, 3.5421237034293824, 2.8458354591743293,1.00, 0.1128960000000000
2.083333, 1.666667, 0.923498, 0.878919, 1.5693205963679542, 0.1345840377079556, 3.1121571797445648, 2.9925059957963747,1.00, 0.1128960000000000
2.083333, 2.083333, 0.899050, 0.883556, 1.5695138825943917, 0.1047052261241173, 3.1066288558276658, 3.0204491668632896,1.00, 0.1128960000000000
2.083333, 2.500000, 0.869201, 0.877232, 1.5696594376925102, 0.0853295715729240, 3.1003234162832456, 3.0348704778964213,1.00, 0.1128960000000000
2.083333, 2.916667, 0.836335, 0.864830, 1.5697402650821646, 0.0730300958299739, 3.0962078763265222, 3.0423665485468905,1.00, 0.1128960000000000
