S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
0.833333, 1.666667, 0.644169, 0.884283, 1.5503898287997675, 0.2695816659867887, 3.0809276026371957, 2.8320081243859305,1.00, 0.0271360000000000
0.833333, 2.083333, 0.560938, 0.850607, 1.5544008327525956, 0.2366799896200768, 3.1445903671276052, 2.8633874672833075,1.00, 0.0271360000000000
0.833333, 2.500000, 0.491235, 0.773707, 1.5545303195919777, 0.2219804555637293, 3.1997077505597415, 2.8628678365674483,1.00, 0.0271360000000000
0.833333, 2.916667, 0.435850, 0.674237, 1.5516223887386613, 0.2307193540544722, 3.2670476309658496, 2.8418425386726271,1.00, 0.0271360000000000
0.833333, 3.333333, 0.390645, 0.568733, 1.5383031328754146, 0.2719944702416725, 3.3329970503209996, 2.7972863165923196,1.00, 0.0271360000000000
0.833333, 3.750000, 0.352768, 0.468298, 1.5059315190768070, 0.3427001954845219, 3.3969383244399922, 2.7359447160981705,1.00, 0.0271360000000000
0.833333, 4.166667, 0.321363, 0.381108, 1.4416432326604010, 0.4373663312503051, 3.4702974791808927, 2.6576876926721757,1.00, 0.0271360000000000
0.833333, 4.583333, 0.296386, 0.310931, 1.3531457497828179, 0.5402243273572036, 3.5128294219232736, 2.5710787022489718,1.00, 0.0271360000000000
0.833333, 5.000000, 0.277782, 0.257601, 1.2301674845863402, 0.6267735229384634, 3.5033142717518100, 2.4891974687748526,1.00, 0.0271360000000000
0.833333, 5.416667, 0.265191, 0.220236, 1.0818429689288336, 0.6916787114369154, 3.4515722322564359, 2.4057297499983470,1.00, 0.0271360000000000
0.833333, 5.833333, 0.257811, 0.197410, 0.9463544637712054, 0.7350915227715079, 3.4100788092981973, 2.2985703372917343,1.00, 0.0271360000000000
0.833333, 6.250000, 0.254584, 0.186620, 0.8201147057972507, 0.7533296226995126, 3.4025994385699567, 2.2006769967854640,1.00, 0.0271360000000000
0.833333, 6.666667, 0.254506, 0.185551, 0.6661221938937754, 0.7239910589050731, 3.3994396699975762, 2.0776715213549384,1.00, 0.0271360000000000
0.833333, 7.083333, 0.256732, 0.192425, 0.5179849804893295, 0.6659008273431927, 3.4882120040426705, 1.9473134412834796,1.00, 0.0271360000000000
0.833333, 7.500000, 0.260600, 0.205632, 0.4106850393661435, 0.6099681090653917, 3.5711709879699178, 1.8908613467485937,1.00, 0.0271360000000000
0.833333, 7.916667, 0.265585, 0.223643, 0.3446743148474538, 0.5653383762063233, 3.6146768004560936, 1.8493543503513818,1.00, 0.0271360000000000
0.833333, 8.333333, 0.271266, 0.245141, 0.3085787997609679, 0.5511230630360825, 3.6350980216075346, 1.8226122747861191,1.00, 0.0271360000000000
0.833333, 8.750000, 0.277319, 0.268978, 0.2767646367844994, 0.5367380904714588, 3.6468130861452446, 1.8145009819941491,1.00, 0.0271360000000000
0.833333, 9.166667, 0.283499, 0.294133, 0.2361991110068294, 0.4930500358045779, 3.6686634188090070, 1.8305151030883187,1.00, 0.0271360000000000
0.833333, 9.583333, 0.289631, 0.319796, 0.1933193855397501, 0.4256481676108460, 3.7008449673497124, 1.8549883364771196,1.00, 0.0271360000000000
0.833333, 10.000000, 0.295608, 0.345379, 0.1630430444003144, 0.3721591893260977, 3.7171456317354123, 1.8697301668036117,1.00, 0.0271360000000000
1.250000, 1.666667, 0.765999, 0.918907, 1.5685888381321367, 0.1483080008381538, 3.0680368941018941, 2.9287252072215257,2.00, 0.0271360000000000
1.250000, 2.083333, 0.698506, 0.929444, 1.5682818907969815, 0.1159603787274152, 3.0890362169579939, 2.9395199007540280,2.00, 0.0271360000000000
1.250000, 2.500000, 0.643478, 0.931924, 1.5683076656973118, 0.1005996991337765, 3.1377206414651497, 2.9358568869176711,2.00, 0.0271360000000000
1.250000, 2.916667, 0.599722, 0.929821, 1.5684879938119642, 0.0975725997821682, 3.1996829281715118, 2.9205604432008268,2.00, 0.0271360000000000
1.250000, 3.333333, 0.562685, 0.921824, 1.5680619434323431, 0.1025420790284247, 3.2765158334835500, 2.9014614459448862,2.00, 0.0271360000000000
1.250000, 3.750000, 0.528853, 0.906728, 1.5668240389571308, 0.1128787146712763, 3.3536563463790259, 2.8804925422566323,2.00, 0.0271360000000000
1.250000, 4.166667, 0.496622, 0.883829, 1.5653214237393369, 0.1284894175330635, 3.4541962660443777, 2.8519139230022126,2.00, 0.0271360000000000
1.250000, 4.583333, 0.465563, 0.852663, 1.5631926929171014, 0.1505117112137132, 3.5448370215972016, 2.8228447728288728,2.00, 0.0271360000000000
1.250000, 5.000000, 0.435765, 0.813637, 1.5600918588225732, 0.1803671046360585, 3.6123935971994268, 2.7835943348904588,1.00, 0.0271360000000000
1.250000, 5.416667, 0.407596, 0.768814, 1.5530954981417293, 0.2199846692060242, 3.6896831942171602, 2.7445479618930202,1.00, 0.0271360000000000
1.250000, 5.833333, 0.381442, 0.721292, 1.5415435705186078, 0.2700956289819654, 3.7637148784520074, 2.7037307771199424,1.00, 0.0271360000000000
1.250000, 6.250000, 0.357584, 0.673913, 1.5179036324937620, 0.3249566073921970, 3.7999678359580846, 2.6520205103704662,1.00, 0.0271360000000000
1.250000, 6.666667, 0.336273, 0.628868, 1.4877332688602216, 0.3905948259486585, 3.8314129203922049, 2.5941044904300297,1.00, 0.0271360000000000
1.250000, 7.083333, 0.317649, 0.587508, 1.4265008636743282, 0.4590622911564063, 3.8855855593775463, 2.5273311722647578,1.00, 0.0271360000000000
1.250000, 7.500000, 0.301721, 0.550370, 1.3538280876392366, 0.5201196083966636, 3.9458458734548705, 2.4673068372316500,1.00, 0.0271360000000000
1.250000, 7.916667, 0.288446, 0.517775, 1.2833475635667784, 0.5670466626917755, 3.9724187243712028, 2.4105391504304539,1.00, 0.0271360000000000
1.250000, 8.333333, 0.277680, 0.489625, 1.2142376724834640, 0.6108067161413655, 3.9287148113550301, 2.3663900198461878,1.00, 0.0271360000000000
1.250000, 8.750000, 0.269171, 0.465700, 1.1314601668101754, 0.6502772734773299, 3.8336414532464347, 2.3167266013471708,1.00, 0.0271360000000000
1.250000, 9.166667, 0.262645, 0.446005, 1.0401213507420251, 0.6745506223636770, 3.7598667778457893, 2.2961306755581412,1.00, 0.0271360000000000
1.250000, 9.583333, 0.257813, 0.430623, 0.9663236554521113, 0.6966978213375239, 3.7107169961368478, 2.2801319915869018,1.00, 0.0271360000000000
1.250000, 10.000000, 0.254400, 0.419551, 0.8945566484246057, 0.7182135500141897, 3.6474102461062810, 2.2814724752003439,1.00, 0.0271360000000000
1.666667, 1.666667, 0.797324, 0.844012, 1.5695633223396108, 0.0996097434783337, 3.1031370193681544, 2.9647218641503681,2.00, 0.0271360000000000
1.666667, 2.083333, 0.743087, 0.881339, 1.5688902028858502, 0.0867566787011535, 3.1478267452794055, 2.9597502950195453,2.00, 0.0271360000000000
