S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
0.833333, 1.666667, 0.532553, 0.552140, 1.4490864765489126, 0.5984564826999299, 2.8402143521150585, 2.1765358974154885,2.00, 0.2562560000000000
0.833333, 2.083333, 0.520378, 0.595446, 1.4590325467866099, 0.5848329286908629, 2.8633102357821283, 2.2646630645247505,2.00, 0.2562560000000000
0.833333, 2.500000, 0.513254, 0.639901, 1.4667842219791751, 0.5659088261684918, 2.9147163716423532, 2.3713643934401225,2.00, 0.2562560000000000
0.833333, 2.916667, 0.503775, 0.678772, 1.4747245201444708, 0.5403001038797935, 2.9775964339330501, 2.4929402899690820,2.00, 0.2562560000000000
0.833333, 3.333333, 0.488817, 0.705704, 1.4823913086745020, 0.5100273569933403, 3.0522124323328681, 2.6116800825547077,2.00, 0.2562560000000000
0.833333, 3.750000, 0.467933, 0.715782, 1.4828605876652337, 0.4852591527803408, 3.1350268227736557, 2.7063183564414310,2.00, 0.2562560000000000
0.833333, 4.166667, 0.442385, 0.705914, 1.4751787072932276, 0.4756787528929159, 3.2256876630329665, 2.7574508592804867,2.00, 0.2562560000000000
0.833333, 4.583333, 0.413893, 0.676186, 1.4663361965469064, 0.4752523544340042, 3.3180916183137104, 2.7776322952636976,2.00, 0.2562560000000000
0.833333, 5.000000, 0.384355, 0.631522, 1.4562441651776181, 0.4781801147728986, 3.4057460044026504, 2.7841468304943207,2.00, 0.2562560000000000
0.833333, 5.416667, 0.355642, 0.579798, 1.4441420770971636, 0.4842165666116565, 3.4897551201366559, 2.7802801060909759,2.00, 0.2562560000000000
0.833333, 5.833333, 0.329169, 0.528276, 1.4292157463576236, 0.4944275174009440, 3.5694441793150293, 2.7664490854553669,2.00, 0.2562560000000000
0.833333, 6.250000, 0.305794, 0.481752, 1.4092523437371633, 0.5096350166762439, 3.6528486454552578, 2.7407734514735869,2.00, 0.2562560000000000
0.833333, 6.666667, 0.286009, 0.442745, 1.3822449612651071, 0.5304493325949989, 3.7325555546096676, 2.7047387042881526,2.00, 0.2562560000000000
0.833333, 7.083333, 0.269846, 0.411856, 1.3489763044442502, 0.5580387207810719, 3.7739626867654206, 2.6679651344857853,2.00, 0.2562560000000000
0.833333, 7.500000, 0.256936, 0.388381, 1.3066676409268627, 0.5901377787461627, 3.7957957421785844, 2.6255902583102371,2.00, 0.2562560000000000
0.833333, 7.916667, 0.246825, 0.371260, 1.2553647150773253, 0.6247613864028970, 3.7952794271671420, 2.5839092943524729,2.00, 0.2562560000000000
0.833333, 8.333333, 0.239048, 0.359344, 1.1914597272169325, 0.6587335322319093, 3.7838990036087612, 2.5414826313879337,2.00, 0.2562560000000000
0.833333, 8.750000, 0.233177, 0.351572, 1.1196524821381446, 0.6912472912516726, 3.7670051325961236, 2.4924430602048386,2.00, 0.2562560000000000
0.833333, 9.166667, 0.228880, 0.347178, 1.0391275661068275, 0.7180555299537419, 3.7364705532556726, 2.4391869315060553,2.00, 0.2562560000000000
0.833333, 9.583333, 0.225882, 0.345583, 0.9559991808692602, 0.7357616064023862, 3.7243805125032727, 2.3932166318780572,1.00, 0.2562560000000000
0.833333, 10.000000, 0.223955, 0.346317, 0.8777742806901991, 0.7441761047934901, 3.7310136758211798, 2.3544212182497199,1.00, 0.2562560000000000
1.250000, 1.666667, 0.730281, 0.686792, 1.4959621866512089, 0.5393333109509206, 2.9239480631818595, 2.3524644704432025,2.00, 0.2562560000000000
