S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
6.67, 5.42, 0.799, 0.993, 0.805, 0.993, 0.798, 0.992, 0.500
6.67, 5.83, 0.785, 0.992, 0.792, 0.992, 0.783, 0.991, 0.506
6.67, 6.25, 0.771, 0.990, 0.780, 0.990, 0.769, 0.989, 0.512
6.67, 6.67, 0.758, 0.988, 0.769, 0.988, 0.756, 0.987, 0.519
6.67, 7.08, 0.746, 0.986, 0.759, 0.986, 0.743, 0.985, 0.526
6.67, 7.50, 0.735, 0.984, 0.749, 0.984, 0.731, 0.982, 0.533
6.67, 7.92, 0.724, 0.982, 0.740, 0.982, 0.719, 0.980, 0.541
6.67, 8.33, 0.713, 0.979, 0.732, 0.979, 0.709, 0.977, 0.548
7.08, 0.42, 0.997, 1.000, 0.997, 1.000, 0.998, 1.000, 0.473
7.08, 0.83, 0.985, 1.000, 0.983, 1.000, 0.986, 1.000, 0.472
7.08, 1.25, 0.972, 1.000, 0.969, 1.000, 0.972, 1.000, 0.472
7.08, 1.67, 0.956, 1.000, 0.953, 1.000, 0.957, 1.000, 0.471
7.08, 2.08, 0.940, 1.000, 0.936, 1.000, 0.941, 1.000, 0.471
7.08, 2.50, 0.923, 0.999, 0.919, 0.999, 0.924, 0.999, 0.471
7.08, 2.92, 0.906, 0.999, 0.902, 0.999, 0.907, 0.999, 0.471
7.08, 3.33, 0.890, 0.998, 0.886, 0.998, 0.891, 0.998, 0.472
7.08, 3.75, 0.873, 0.998, 0.870, 0.998, 0.874, 0.997, 0.473
7.08, 4.17, 0.857, 0.997, 0.855, 0.997, 0.858, 0.996, 0.475
7.08, 4.58, 0.841, 0.996, 0.840, 0.996, 0.842, 0.995, 0.478
7.08, 5.00, 0.826, 0.995, 0.826, 0.995, 0.826, 0.994, 0.482
7.08, 5.42, 0.812, 0.993, 0.813, 0.993, 0.811, 0.992, 0.487
7.08, 5.83, 0.798, 0.992, 0.801, 0.992, 0.797, 0.991, 0.492
7.08, 6.25, 0.784, 0.990, 0.789, 0.990, 0.783, 0.989, 0.499
7.08, 6.67, 0.771, 0.989, 0.778, 0.989, 0.770, 0.987, 0.505
7.08, 7.08, 0.759, 0.987, 0.768, 0.987, 0.757, 0.985, 0.513
7.08, 7.50, 0.747, 0.984, 0.758, 0.984, 0.745, 0.983, 0.520
7.08, 7.92, 0.736, 0.982, 0.749, 0.982, 0.733, 0.981, 0.528
7.08, 8.33, 0.726, 0.980, 0.741, 0.980, 0.722, 0.978, 0.536
7.50, 0.42, 0.998, 1.000, 0.997, 1.000, 0.998, 1.000, 0.461
7.50, 0.83, 0.987, 1.000, 0.984, 1.000, 0.987, 1.000, 0.461
7.50, 1.25, 0.974, 1.000, 0.970, 1.000, 0.975, 1.000, 0.461
7.50, 1.67, 0.960, 1.000, 0.955, 1.000, 0.961, 1.000, 0.460
7.50, 2.08, 0.944, 1.000, 0.939, 1.000, 0.946, 1.000, 0.460
7.50, 2.50, 0.928, 0.999, 0.923, 0.999, 0.930, 0.999, 0.460
7.50, 2.92, 0.913, 0.999, 0.907, 0.999, 0.914, 0.999, 0.460
7.50, 3.33, 0.897, 0.998, 0.891, 0.998, 0.899, 0.998, 0.461
7.50, 3.75, 0.881, 0.998, 0.876, 0.998, 0.883, 0.997, 0.462
7.50, 4.17, 0.866, 0.997, 0.861, 0.997, 0.867, 0.997, 0.464
7.50, 4.58, 0.851, 0.996, 0.847, 0.996, 0.852, 0.996, 0.467
7.50, 5.00, 0.837, 0.995, 0.833, 0.995, 0.837, 0.995, 0.471
7.50, 5.42, 0.822, 0.994, 0.821, 0.994, 0.823, 0.993, 0.476
7.50, 5.83, 0.809, 0.992, 0.809, 0.992, 0.809, 0.992, 0.481
7.50, 6.25, 0.796, 0.991, 0.797, 0.991, 0.795, 0.990, 0.487
7.50, 6.67, 0.783, 0.989, 0.786, 0.989, 0.782, 0.989, 0.494
7.50, 7.08, 0.771, 0.987, 0.776, 0.987, 0.769, 0.986, 0.502
7.50, 7.50, 0.759, 0.985, 0.767, 0.985, 0.757, 0.984, 0.509
7.50, 7.92, 0.748, 0.983, 0.758, 0.983, 0.745, 0.982, 0.517
7.50, 8.33, 0.737, 0.980, 0.749, 0.980, 0.734, 0.979, 0.525
7.92, 0.42, 0.998, 1.000, 0.997, 1.000, 0.998, 1.000, 0.452
7.92, 0.83, 0.988, 1.000, 0.985, 1.000, 0.988, 1.000, 0.451
7.92, 1.25, 0.976, 1.000, 0.972, 1.000, 0.977, 1.000, 0.451
7.92, 1.67, 0.963, 1.000, 0.957, 1.000, 0.964, 1.000, 0.451
7.92, 2.08, 0.948, 1.000, 0.942, 1.000, 0.950, 1.000, 0.451
7.92, 2.50, 0.933, 0.999, 0.926, 0.999, 0.935, 0.999, 0.451
7.92, 2.92, 0.918, 0.999, 0.911, 0.999, 0.920, 0.999, 0.451
7.92, 3.33, 0.903, 0.998, 0.896, 0.998, 0.905, 0.998, 0.452
7.92, 3.75, 0.889, 0.998, 0.881, 0.998, 0.891, 0.998, 0.453
7.92, 4.17, 0.874, 0.997, 0.867, 0.997, 0.876, 0.997, 0.455
7.92, 4.58, 0.860, 0.996, 0.853, 0.996, 0.861, 0.996, 0.458
7.92, 5.00, 0.846, 0.995, 0.840, 0.995, 0.847, 0.995, 0.462
7.92, 5.42, 0.832, 0.994, 0.828, 0.994, 0.833, 0.994, 0.467
7.92, 5.83, 0.819, 0.993, 0.816, 0.992, 0.819, 0.993, 0.472
7.92, 6.25, 0.806, 0.991, 0.805, 0.991, 0.806, 0.991, 0.478
7.92, 6.67, 0.793, 0.989, 0.794, 0.989, 0.793, 0.989, 0.485
7.92, 7.08, 0.781, 0.987, 0.784, 0.987, 0.780, 0.987, 0.493
7.92, 7.50, 0.769, 0.985, 0.775, 0.985, 0.768, 0.985, 0.500
7.92, 7.92, 0.758, 0.983, 0.765, 0.983, 0.756, 0.982, 0.508
7.92, 8.33, 0.747, 0.981, 0.757, 0.981, 0.745, 0.980, 0.516
8.33, 0.42, 0.998, 1.000, 0.998, 1.000, 0.998, 1.000, 0.444
8.33, 0.83, 0.989, 1.000, 0.986, 1.000, 0.989, 1.000, 0.443
8.33, 1.25, 0.978, 1.000, 0.973, 1.000, 0.979, 1.000, 0.443
8.33, 1.67, 0.965, 1.000, 0.959, 1.000, 0.967, 1.000, 0.443
8.33, 2.08, 0.952, 1.000, 0.944, 1.000, 0.953, 1.000, 0.443
8.33, 2.50, 0.937, 0.999, 0.929, 0.999, 0.940, 0.999, 0.443
8.33, 2.92, 0.923, 0.999, 0.914, 0.999, 0.926, 0.999, 0.443
8.33, 3.33, 0.909, 0.999, 0.900, 0.998, 0.912, 0.999, 0.444
8.33, 3.75, 0.895, 0.998, 0.885, 0.998, 0.897, 0.998, 0.446
8.33, 4.17, 0.881, 0.997, 0.872, 0.997, 0.883, 0.997, 0.448
8.33, 4.58, 0.867, 0.997, 0.859, 0.996, 0.869, 0.997, 0.451
8.33, 5.00, 0.854, 0.996, 0.846, 0.995, 0.856, 0.996, 0.455
8.33, 5.42, 0.840, 0.995, 0.834, 0.994, 0.842, 0.995, 0.460
8.33, 5.83, 0.827, 0.993, 0.823, 0.992, 0.829, 0.993, 0.465
8.33, 6.25, 0.815, 0.992, 0.812, 0.991, 0.815, 0.992, 0.471
8.33, 6.67, 0.802, 0.990, 0.801, 0.989, 0.803, 0.990, 0.478
8.33, 7.08, 0.790, 0.988, 0.791, 0.987, 0.790, 0.988, 0.485
8.33, 7.50, 0.779, 0.985, 0.782, 0.985, 0.778, 0.985, 0.493
8.33, 7.92, 0.768, 0.983, 0.773, 0.983, 0.766, 0.983, 0.500
8.33, 8.33, 0.757, 0.981, 0.764, 0.981, 0.755, 0.981, 0.508
