S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
1.67, 5.00, 0.315, 0.918, 0.407, 0.918, 0.291, 0.903, 0.756
1.67, 5.42, 0.302, 0.909, 0.389, 0.909, 0.280, 0.885, 0.752
1.67, 5.83, 0.292, 0.900, 0.373, 0.900, 0.270, 0.869, 0.748
1.67, 6.25, 0.282, 0.890, 0.359, 0.890, 0.262, 0.856, 0.743
1.67, 6.67, 0.274, 0.881, 0.346, 0.881, 0.255, 0.843, 0.737
1.67, 7.08, 0.267, 0.872, 0.335, 0.872, 0.250, 0.831, 0.731
1.67, 7.50, 0.261, 0.863, 0.325, 0.863, 0.244, 0.819, 0.725
1.67, 7.92, 0.256, 0.855, 0.315, 0.855, 0.240, 0.806, 0.718
1.67, 8.33, 0.251, 0.847, 0.307, 0.847, 0.236, 0.794, 0.711
2.08, 0.42, 0.970, 1.000, 0.976, 1.000, 0.968, 1.000, 0.605
2.08, 0.83, 0.873, 0.999, 0.903, 0.999, 0.865, 0.999, 0.633
2.08, 1.25, 0.784, 0.997, 0.843, 0.996, 0.769, 0.997, 0.671
2.08, 1.67, 0.697, 0.993, 0.785, 0.991, 0.673, 0.993, 0.711
2.08, 2.08, 0.620, 0.989, 0.732, 0.982, 0.590, 0.989, 0.742
2.08, 2.50, 0.558, 0.983, 0.686, 0.974, 0.524, 0.983, 0.761
2.08, 2.92, 0.509, 0.975, 0.645, 0.968, 0.474, 0.975, 0.772
2.08, 3.33, 0.472, 0.966, 0.609, 0.963, 0.435, 0.966, 0.776
2.08, 3.75, 0.441, 0.958, 0.577, 0.958, 0.406, 0.955, 0.778
2.08, 4.17, 0.417, 0.953, 0.549, 0.953, 0.382, 0.943, 0.778
2.08, 4.58, 0.397, 0.948, 0.524, 0.948, 0.363, 0.929, 0.777
2.08, 5.00, 0.379, 0.941, 0.501, 0.941, 0.347, 0.914, 0.775
2.08, 5.42, 0.365, 0.934, 0.481, 0.934, 0.334, 0.897, 0.773
2.08, 5.83, 0.352, 0.927, 0.463, 0.927, 0.323, 0.883, 0.770
2.08, 6.25, 0.341, 0.919, 0.446, 0.919, 0.313, 0.872, 0.767
2.08, 6.67, 0.332, 0.911, 0.431, 0.911, 0.305, 0.860, 0.763
2.08, 7.08, 0.323, 0.904, 0.418, 0.904, 0.298, 0.848, 0.759
2.08, 7.50, 0.316, 0.896, 0.405, 0.896, 0.292, 0.836, 0.755
2.08, 7.92, 0.309, 0.889, 0.394, 0.889, 0.286, 0.824, 0.750
2.08, 8.33, 0.303, 0.883, 0.383, 0.883, 0.281, 0.813, 0.745
2.50, 0.42, 0.978, 1.000, 0.984, 1.000, 0.976, 1.000, 0.633
2.50, 0.83, 0.901, 1.000, 0.931, 1.000, 0.893, 1.000, 0.656
2.50, 1.25, 0.829, 0.999, 0.885, 0.998, 0.814, 0.999, 0.684
