S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
2.50, 1.67, 0.188, 0.987, 0.157, 0.961, 0.196, 0.987, 0.401
2.50, 2.50, 0.220, 0.985, 0.205, 0.965, 0.225, 0.985, 0.443
2.50, 3.33, 0.230, 0.976, 0.242, 0.944, 0.226, 0.976, 0.514
2.50, 4.17, 0.234, 0.985, 0.271, 0.965, 0.224, 0.985, 0.581
2.50, 5.00, 0.239, 0.959, 0.293, 0.951, 0.225, 0.959, 0.628
2.50, 5.83, 0.245, 0.938, 0.309, 0.920, 0.229, 0.938, 0.655
2.50, 6.67, 0.252, 0.898, 0.319, 0.884, 0.234, 0.898, 0.667
2.50, 7.50, 0.258, 0.898, 0.325, 0.842, 0.240, 0.898, 0.668
2.50, 8.33, 0.263, 0.883, 0.327, 0.825, 0.246, 0.883, 0.664
3.33, 0.83, 0.072, 0.973, 0.058, 0.968, 0.076, 0.973, 0.406
3.33, 1.67, 0.150, 0.990, 0.129, 0.981, 0.156, 0.990, 0.422
3.33, 2.50, 0.194, 0.983, 0.187, 0.977, 0.196, 0.983, 0.463
3.33, 3.33, 0.219, 0.992, 0.235, 0.973, 0.215, 0.992, 0.520
3.33, 4.17, 0.238, 0.985, 0.276, 0.962, 0.228, 0.985, 0.573
3.33, 5.00, 0.256, 0.964, 0.310, 0.956, 0.242, 0.964, 0.611
3.33, 5.83, 0.275, 0.954, 0.336, 0.945, 0.259, 0.954, 0.631
3.33, 6.67, 0.293, 0.937, 0.356, 0.937, 0.276, 0.929, 0.638
3.33, 7.50, 0.309, 0.945, 0.370, 0.919, 0.293, 0.945, 0.636
3.33, 8.33, 0.323, 0.934, 0.380, 0.903, 0.308, 0.934, 0.628
4.17, 0.83, 0.050, 0.989, 0.044, 0.979, 0.051, 0.989, 0.448
4.17, 1.67, 0.118, 0.985, 0.111, 0.980, 0.119, 0.985, 0.466
4.17, 2.50, 0.167, 0.987, 0.171, 0.987, 0.165, 0.981, 0.497
4.17, 3.33, 0.202, 0.984, 0.223, 0.984, 0.196, 0.976, 0.538
4.17, 4.17, 0.230, 0.985, 0.269, 0.985, 0.220, 0.981, 0.575
4.17, 5.00, 0.256, 0.973, 0.306, 0.973, 0.242, 0.961, 0.600
4.17, 5.83, 0.281, 0.969, 0.337, 0.969, 0.266, 0.960, 0.613
4.17, 6.67, 0.305, 0.957, 0.362, 0.957, 0.290, 0.956, 0.615
4.17, 7.50, 0.327, 0.954, 0.381, 0.954, 0.313, 0.935, 0.609
4.17, 8.33, 0.347, 0.947, 0.395, 0.947, 0.334, 0.935, 0.597
